dexnum,name,generation,type1,type2,species,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,ev_yield,catch_rate,base_friendship,base_exp,growth_rate,egg_group1,egg_group2,percent_male,percent_female,egg_cycles,special_group
135,쥬피썬더,1,Electric,,Lightning Pokemon,0.8,24.5,Volt Absorb,Quick Feet,,65,65,60,110,95,130,525,2 Speed,45,50,184,Medium Fast,Field,,87.5,12.5,35,Ordinary
136,부스터,1,Fire,,Flame Pokemon,0.9,25,Flash Fire,Guts,,65,130,60,95,110,65,525,2 Attack,45,50,184,Medium Fast,Field,,87.5,12.5,35,Ordinary
137,폴리곤,1,Normal,,Virtual Pokemon,0.8,36.5,Trace,Download,Analytic,65,60,70,85,75,40,395,1 Sp. Atk,45,50,79,Medium Fast,Mineral,,,,20,Ordinary
138,암나이트,1,Rock,Water,Spiral Pokemon,0.4,7.5,Swift Swim,Shell Armor,Weak Armor,35,40,100,90,55,35,355,1 Defense,45,50,71,Medium Fast,Water 1 ,Water 3,87.5,12.5,30,Fossil
139,암스타,1,Rock,Water,Spiral Pokemon,1,35,Swift Swim,Shell Armor,Weak Armor,70,60,125,115,70,55,495,2 Defense,45,50,173,Medium Fast,Water 1 ,Water 3,87.5,12.5,30,Fossil
140,투구,1,Rock,Water,Shellfish Pokemon,0.5,11.5,Swift Swim,Battle Armor,Weak Armor,30,80,90,55,45,55,355,1 Defense,45,50,71,Medium Fast,Water 1 ,Water 3,87.5,12.5,30,Fossil
141,투구푸스,1,Rock,Water,Shellfish Pokemon,1.3,40.5,Swift Swim,Battle Armor,Weak Armor,60,115,105,65,70,80,495,2 Attack,45,50,173,Medium Fast,Water 1 ,Water 3,87.5,12.5,30,Fossil
142,프테라,1,Rock,Flying,Fossil Pokemon,1.8,59,Rock Head,Pressure,Unnerve,80,105,65,60,75,130,515,2 Speed,45,50,180,Slow,Flying,,87.5,12.5,35,Fossil
143,잠만보,1,Normal,,Sleeping Pokemon,2.1,460,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30,540,2 HP,25,50,189,Slow,Monster,,87.5,12.5,40,Ordinary
144,프리져,1,Ice,Flying,Freeze Pokemon,1.7,55.4,Pressure,Snow Cloak,,90,85,100,95,125,85,580,3 Sp. Def,3,35,290,Slow,Undiscovered,,,,80,Legendary
145,썬더,1,Electric,Flying,Electric Pokemon,1.6,52.6,Pressure,Static,,90,90,85,125,90,100,580,3 Sp. Atk,3,35,290,Slow,Undiscovered,,,,80,Legendary
146,파이어,1,Fire,Flying,Flame Pokemon,2,60,Pressure,Flame Body,,90,100,90,125,85,90,580,3 Sp. Atk,3,35,290,Slow,Undiscovered,,,,80,Legendary
147,미뇽,1,Dragon,,Dragon Pokemon,1.8,3.3,Shed Skin,Marvel Scale,,41,64,45,50,50,50,300,1 Attack,45,35,60,Slow,Dragon ,Water 1,50,50,40,Ordinary
148,신뇽,1,Dragon,,Dragon Pokemon,4,16.5,Shed Skin,Marvel Scale,,61,84,65,70,70,70,420,2 Attack,45,35,147,Slow,Dragon ,Water 1,50,50,40,Ordinary
149,망나뇽,1,Dragon,Flying,Dragon Pokemon,2.2,210,Inner Focus,Multiscale,,91,134,95,100,100,80,600,3 Attack,45,35,300,Slow,Dragon ,Water 1,50,50,40,Ordinary
150,뮤츠,1,Psychic,,Genetic Pokemon,2,122,Pressure,Unnerve,,106,110,90,154,90,130,680,3 Sp. Atk,3,0,340,Slow,Undiscovered,,,,120,Legendary
151,뮤,1,Psychic,,New Species Pokemon,0.4,4,Synchronize,,,100,100,100,100,100,100,600,3 HP,45,100,300,Medium Slow,Undiscovered,,,,120,Mythical
152,치코리타,2,Grass,,Leaf Pokemon,0.9,6.4,Overgrow,Leaf Guard,,45,49,65,49,65,45,318,1 Sp. Def,45,50,64,Medium Slow,Grass ,Monster,87.5,12.5,20,Ordinary
153,베이리프,2,Grass,,Leaf Pokemon,1.2,15.8,Overgrow,Leaf Guard,,60,62,80,63,80,60,405,"1 Defense, 1 Sp. Def",45,50,142,Medium Slow,Grass ,Monster,87.5,12.5,20,Ordinary
154,메가니움,2,Grass,,Herb Pokemon,1.8,100.5,Overgrow,Leaf Guard,,80,82,100,83,100,80,525,"1 Defense, 2 Sp. Def",45,50,236,Medium Slow,Grass ,Monster,87.5,12.5,20,Ordinary
155,브케인,2,Fire,,Fire Mouse Pokemon,0.5,7.9,Blaze,Flash Fire,,39,52,43,60,50,65,309,1 Speed,45,50,62,Medium Slow,Field,,87.5,12.5,20,Ordinary
156,마그케인,2,Fire,,Volcano Pokemon,0.9,19,Blaze,Flash Fire,,58,64,58,80,65,80,405,"1 Sp. Atk, 1 Speed",45,50,142,Medium Slow,Field,,87.5,12.5,20,Ordinary
157,블레이범,2,Fire,,Volcano Pokemon,1.7,79.5,Blaze,Flash Fire,,78,84,78,109,85,100,534,3 Sp. Atk,45,50,267,Medium Slow,Field,,87.5,12.5,20,Ordinary
158,리아코,2,Water,,Big Jaw Pokemon,0.6,9.5,Torrent,Sheer Force,,50,65,64,44,48,43,314,1 Attack,45,50,63,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
159,엘리게이,2,Water,,Big Jaw Pokemon,1.1,25,Torrent,Sheer Force,,65,80,80,59,63,58,405,"1 Attack, 1 Defense",45,50,142,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
160,장크로다일,2,Water,,Big Jaw Pokemon,2.3,88.8,Torrent,Sheer Force,,85,105,100,79,83,78,530,"2 Attack, 1 Defense",45,50,239,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
161,꼬리선,2,Normal,,Scout Pokemon,0.8,6,Run Away,Keen Eye,Frisk,35,46,34,35,45,20,215,1 Attack,255,50,43,Medium Fast,Field,,50,50,15,Ordinary
162,다꼬리,2,Normal,,Long Body Pokemon,1.8,32.5,Run Away,Keen Eye,Frisk,85,76,64,45,55,90,415,2 Speed,90,50,145,Medium Fast,Field,,50,50,15,Ordinary
163,부우부,2,Normal,Flying,Owl Pokemon,0.7,21.2,Insomnia,Keen Eye,Tinted Lens,60,30,30,36,56,50,262,1 HP,255,50,52,Medium Fast,Flying,,50,50,15,Ordinary
164,야부엉,2,Normal,Flying,Owl Pokemon,1.6,40.8,Insomnia,Keen Eye,Tinted Lens,100,50,50,86,96,70,452,2 HP,90,50,158,Medium Fast,Flying,,50,50,15,Ordinary
165,레디바,2,Bug,Flying,Five Star Pokemon,1,10.8,Swarm,Early Bird,Rattled,40,20,30,40,80,55,265,1 Sp. Def,255,50,53,Fast,Bug,,50,50,15,Ordinary
166,레디안,2,Bug,Flying,Five Star Pokemon,1.4,35.6,Swarm,Early Bird,Iron Fist,55,35,50,55,110,85,390,2 Sp. Def,90,50,137,Fast,Bug,,50,50,15,Ordinary
167,페이검,2,Bug,Poison,String Spit Pokemon,0.5,8.5,Swarm,Insomnia,Sniper,40,60,40,40,40,30,250,1 Attack,255,50,50,Fast,Bug,,50,50,15,Ordinary
168,아리아도스,2,Bug,Poison,Long Leg Pokemon,1.1,33.5,Swarm,Insomnia,Sniper,70,90,70,60,70,40,400,2 Attack,90,50,140,Fast,Bug,,50,50,15,Ordinary
169,크로뱃,2,Poison,Flying,Bat Pokemon,1.8,75,Inner Focus,Infiltrator,,85,90,80,70,80,130,535,3 Speed,90,50,241,Medium Fast,Flying,,50,50,15,Ordinary
170,초라기,2,Water,Electric,Angler Pokemon,0.5,12,Volt Absorb,Illuminate,Water Absorb,75,38,38,56,56,67,330,1 HP,190,50,66,Slow,Water 2,,50,50,20,Ordinary
171,랜턴,2,Water,Electric,Light Pokemon,1.2,22.5,Volt Absorb,Illuminate,Water Absorb,125,58,58,76,76,67,460,2 HP,75,50,161,Slow,Water 2,,50,50,20,Ordinary
172,피츄,2,Electric,,Tiny Mouse Pokemon,0.3,2,Static,Lightning Rod,,20,40,15,35,35,60,205,1 Speed,190,50,41,Medium Fast,Undiscovered,,50,50,10,Baby Pokemon
173,삐,2,Fairy,,Star Shape Pokemon,0.3,3,Cute Charm,Magic Guard,Friend Guard,50,25,28,45,55,15,218,1 Sp. Def,150,140,44,Fast,Undiscovered,,25,75,10,Baby Pokemon
174,푸푸린,2,Normal,Fairy,Balloon Pokemon,0.3,1,Cute Charm,Competitive,Friend Guard,90,30,15,40,20,15,210,1 HP,170,50,42,Fast,Undiscovered,,25,75,10,Baby Pokemon
175,토게피,2,Fairy,,Spike Ball Pokemon,0.3,1.5,Hustle,Serene Grace,Super Luck,35,20,65,40,65,20,245,1 Sp. Def,190,50,49,Fast,Undiscovered,,87.5,12.5,10,Baby Pokemon
176,토게틱,2,Fairy,Flying,Happiness Pokemon,0.6,3.2,Hustle,Serene Grace,Super Luck,55,40,85,80,105,40,405,2 Sp. Def,75,50,142,Fast,Fairy ,Flying,87.5,12.5,10,Ordinary
177,네이티,2,Psychic,Flying,Tiny Bird Pokemon,0.2,2,Synchronize,Early Bird,Magic Bounce,40,50,45,70,45,70,320,1 Sp. Atk,190,50,64,Medium Fast,Flying,,50,50,20,Ordinary
178,네이티오,2,Psychic,Flying,Mystic Pokemon,1.5,15,Synchronize,Early Bird,Magic Bounce,65,75,70,95,70,95,470,"1 Sp. Atk, 1 Speed",75,50,165,Medium Fast,Flying,,50,50,20,Ordinary
179,메리프,2,Electric,,Wool Pokemon,0.6,7.8,Static,Plus,,55,40,40,65,45,35,280,1 Sp. Atk,235,50,56,Medium Slow,Field ,Monster,50,50,20,Ordinary
180,보송송,2,Electric,,Wool Pokemon,0.8,13.3,Static,Plus,,70,55,55,80,60,45,365,2 Sp. Atk,120,50,128,Medium Slow,Field ,Monster,50,50,20,Ordinary
181,전룡,2,Electric,,Light Pokemon,1.4,61.5,Static,Plus,,90,75,85,115,90,55,510,3 Sp. Atk,45,50,255,Medium Slow,Field ,Monster,50,50,20,Ordinary
182,아르코,2,Grass,,Flower Pokemon,0.4,5.8,Chlorophyll,Healer,,75,80,95,90,100,50,490,3 Sp. Def,45,50,221,Medium Slow,Grass,,50,50,20,Ordinary
183,마릴,2,Water,Fairy,Aqua Mouse Pokemon,0.4,8.5,Thick Fat,Huge Power,Sap Sipper,70,20,50,20,50,40,250,2 HP,190,50,88,Fast,Fairy ,Water 1,50,50,10,Ordinary
184,마릴리,2,Water,Fairy,Aqua Rabbit Pokemon,0.8,28.5,Thick Fat,Huge Power,Sap Sipper,100,50,80,60,80,50,420,3 HP,75,50,210,Fast,Fairy ,Water 1,50,50,10,Ordinary
185,꼬지모,2,Rock,,Imitation Pokemon,1.2,38,Sturdy,Rock Head,Rattled,70,100,115,30,65,30,410,2 Defense,65,50,144,Medium Fast,Mineral,,50,50,20,Ordinary
186,왕구리,2,Water,,Frog Pokemon,1.1,33.9,Water Absorb,Damp,Drizzle,90,75,75,90,100,70,500,3 Sp. Def,45,50,225,Medium Slow,Water 1,,50,50,20,Ordinary
187,통통코,2,Grass,Flying,Cottonweed Pokemon,0.4,0.5,Chlorophyll,Leaf Guard,Infiltrator,35,35,40,35,55,50,250,1 Sp. Def,255,50,50,Medium Slow,Fairy ,Grass,50,50,20,Ordinary
188,두코,2,Grass,Flying,Cottonweed Pokemon,0.6,1,Chlorophyll,Leaf Guard,Infiltrator,55,45,50,45,65,80,340,2 Speed,120,50,119,Medium Slow,Fairy ,Grass,50,50,20,Ordinary
189,솜솜코,2,Grass,Flying,Cottonweed Pokemon,0.8,3,Chlorophyll,Leaf Guard,Infiltrator,75,55,70,55,95,110,460,3 Speed,45,50,230,Medium Slow,Fairy ,Grass,50,50,20,Ordinary
190,에이팜,2,Normal,,Long Tail Pokemon,0.8,11.5,Run Away,Pickup,Skill Link,55,70,55,40,55,85,360,1 Speed,45,50,72,Fast,Field,,50,50,20,Ordinary
191,해너츠,2,Grass,,Seed Pokemon,0.3,1.8,Chlorophyll,Solar Power,Early Bird,30,30,30,30,30,30,180,1 Sp. Atk,235,50,36,Medium Slow,Grass,,50,50,20,Ordinary
192,해루미,2,Grass,,Sun Pokemon,0.8,8.5,Chlorophyll,Solar Power,Early Bird,75,75,55,105,85,30,425,2 Sp. Atk,120,50,149,Medium Slow,Grass,,50,50,20,Ordinary
193,왕자리,2,Bug,Flying,Clear Wing Pokemon,1.2,38,Speed Boost,Compound Eyes,Frisk,65,65,45,75,45,95,390,1 Speed,75,50,78,Medium Fast,Bug,,50,50,20,Ordinary
194,우파,2,Water,Ground,Water Fish Pokemon,0.4,8.5,Damp,Water Absorb,Unaware,55,45,45,25,25,15,210,1 HP,255,50,42,Medium Fast,Field ,Water 1,50,50,20,Ordinary
195,누오,2,Water,Ground,Water Fish Pokemon,1.4,75,Damp,Water Absorb,Unaware,95,85,85,65,65,35,430,2 HP,90,50,151,Medium Fast,Field ,Water 1,50,50,20,Ordinary
196,에브이,2,Psychic,,Sun Pokemon,0.9,26.5,Synchronize,Magic Bounce,,65,65,60,130,95,110,525,2 Sp. Atk,45,50,184,Medium Fast,Field,,87.5,12.5,35,Ordinary
197,블래키,2,Dark,,Moonlight Pokemon,1,27,Synchronize,Inner Focus,,95,65,110,60,130,65,525,2 Sp. Def,45,35,184,Medium Fast,Field,,87.5,12.5,35,Ordinary
198,니로우,2,Dark,Flying,Darkness Pokemon,0.5,2.1,Insomnia,Super Luck,Prankster,60,85,42,85,42,91,405,1 Speed,30,35,81,Medium Slow,Flying,,50,50,20,Ordinary
199,야도킹,2,Water,Psychic,Royal Pokemon,2,79.5,Oblivious,Own Tempo,Regenerator,95,75,80,100,110,30,490,2 Sp. Def,70,50,172,Medium Fast,Monster ,Water 1,50,50,20,Ordinary
200,무우마,2,Ghost,,Screech Pokemon,0.7,1,Levitate,,,60,60,60,85,85,85,435,1 Sp. Def,45,35,87,Fast,Amorphous,,50,50,25,Ordinary
201,안농,2,Psychic,,Symbol Pokemon,0.5,5,Levitate,,,48,72,48,72,48,48,336,"1 Attack, 1 Sp. Atk",225,50,118,Medium Fast,Undiscovered,,,,40,Ordinary
202,마자용,2,Psychic,,Patient Pokemon,1.3,28.5,Shadow Tag,Telepathy,,190,33,58,33,58,33,405,2 HP,45,50,142,Medium Fast,Amorphous,,50,50,20,Ordinary
203,키링키,2,Normal,Psychic,Long Neck Pokemon,1.5,41.5,Inner Focus,Early Bird,Sap Sipper,70,80,65,90,65,85,455,2 Sp. Atk,60,50,159,Medium Fast,Field,,50,50,20,Ordinary
204,피콘,2,Bug,,Bagworm Pokemon,0.6,7.2,Sturdy,Overcoat,,50,65,90,35,35,15,290,1 Defense,190,50,58,Medium Fast,Bug,,50,50,20,Ordinary
205,쏘콘,2,Bug,Steel,Bagworm Pokemon,1.2,125.8,Sturdy,Overcoat,,75,90,140,60,60,40,465,2 Defense,75,50,163,Medium Fast,Bug,,50,50,20,Ordinary
206,노고치,2,Normal,,Land Snake Pokemon,1.5,14,Serene Grace,Run Away,Rattled,100,70,70,65,65,45,415,1 HP,190,50,145,Medium Fast,Field,,50,50,20,Ordinary
207,글라이거,2,Ground,Flying,FlyScorpion Pokemon,1.1,64.8,Hyper Cutter,Sand Veil,Immunity,65,75,105,35,65,85,430,1 Defense,60,50,86,Medium Slow,Bug,,50,50,20,Ordinary
208,강철톤,2,Steel,Ground,Iron Snake Pokemon,9.2,400,Rock Head,Sturdy,Sheer Force,75,85,200,55,65,30,510,2 Defense,25,50,179,Medium Fast,Mineral,,50,50,25,Ordinary
209,블루,2,Fairy,,Fairy Pokemon,0.6,7.8,Intimidate,Run Away,Rattled,60,80,50,40,40,30,300,1 Attack,190,50,60,Fast,Fairy ,Field,25,75,20,Ordinary
210,그랑블루,2,Fairy,,Fairy Pokemon,1.4,48.7,Intimidate,Quick Feet,Rattled,90,120,75,60,60,45,450,2 Attack,75,50,158,Fast,Fairy ,Field,25,75,20,Ordinary
211,침바루,2,Water,Poison,Balloon Pokemon,0.5,3.9,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,440,1 Attack,45,50,88,Medium Fast,Water 2,,50,50,20,Ordinary
212,핫삼,2,Bug,Steel,Pincer Pokemon,1.8,118,Swarm,Technician,Light Metal,70,130,100,55,80,65,500,2 Attack,25,50,175,Medium Fast,Bug,,50,50,25,Ordinary
213,단단지,2,Bug,Rock,Mold Pokemon,0.6,20.5,Sturdy,Gluttony,Contrary,20,10,230,10,230,5,505,"1 Defense, 1 Sp. Def",190,50,177,Medium Slow,Bug,,50,50,20,Ordinary
214,헤라크로스,2,Bug,Fighting,Single Horn Pokemon,1.5,54,Swarm,Guts,Moxie,80,125,75,40,95,85,500,2 Attack,45,50,175,Slow,Bug,,50,50,25,Ordinary
215,포푸니,2,Dark,Ice,Sharp Claw Pokemon,0.9,28,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,430,1 Speed,60,35,86,Medium Slow,Field,,50,50,20,Ordinary
216,깜지곰,2,Normal,,Little Bear Pokemon,0.6,8.8,Pickup,Quick Feet,Honey Gather,60,80,50,50,50,40,330,1 Attack,120,50,66,Medium Fast,Field,,50,50,20,Ordinary
217,링곰,2,Normal,,Hibernator Pokemon,1.8,125.8,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,500,2 Attack,60,50,175,Medium Fast,Field,,50,50,20,Ordinary
218,마그마그,2,Fire,,Lava Pokemon,0.7,35,Magma Armor,Flame Body,Weak Armor,40,40,40,70,40,20,250,1 Sp. Atk,190,50,50,Medium Fast,Amorphous,,50,50,20,Ordinary
219,마그카르고,2,Fire,Rock,Lava Pokemon,0.8,55,Magma Armor,Flame Body,Weak Armor,60,50,120,90,80,30,430,2 Defense,75,50,151,Medium Fast,Amorphous,,50,50,20,Ordinary
220,꾸꾸리,2,Ice,Ground,Pig Pokemon,0.4,6.5,Oblivious,Snow Cloak,Thick Fat,50,50,40,30,30,50,250,1 Attack,225,50,50,Slow,Field,,50,50,20,Ordinary
221,메꾸리,2,Ice,Ground,Swine Pokemon,1.1,55.8,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,450,"1 HP, 1 Attack",75,50,158,Slow,Field,,50,50,20,Ordinary
222,코산호,2,Water,Rock,Coral Pokemon,0.6,5,Hustle,Natural Cure,Regenerator,65,55,95,65,95,35,410,"1 Defense, 1 Sp. Def",60,50,144,Fast,Water 1 ,Water 3,25,75,20,Ordinary
223,총어,2,Water,,Jet Pokemon,0.6,12,Hustle,Sniper,Moody,35,65,35,65,35,65,300,1 Sp. Atk,190,50,60,Medium Fast,Water 1 ,Water 2,50,50,20,Ordinary
224,대포무노,2,Water,,Jet Pokemon,0.9,28.5,Suction Cups,Sniper,Moody,75,105,75,105,75,45,480,"1 Attack, 1 Sp. Atk",75,50,168,Medium Fast,Water 1 ,Water 2,50,50,20,Ordinary
225,딜리버드,2,Ice,Flying,Delivery Pokemon,0.9,16,Vital Spirit,Hustle,Insomnia,45,55,45,65,45,75,330,1 Speed,45,50,116,Fast,Field ,Water 1,50,50,20,Ordinary
226,만타인,2,Water,Flying,Kite Pokemon,2.1,220,Swift Swim,Water Absorb,Water Veil,85,40,70,80,140,70,485,2 Sp. Def,25,50,170,Slow,Water 1,,50,50,25,Ordinary
227,무장조,2,Steel,Flying,Armor Bird Pokemon,1.7,50.5,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,465,2 Defense,25,50,163,Slow,Flying,,50,50,25,Ordinary
228,델빌,2,Dark,Fire,Dark Pokemon,0.6,10.8,Early Bird,Flash Fire,Unnerve,45,60,30,80,50,65,330,1 Sp. Atk,120,35,66,Slow,Field,,50,50,20,Ordinary
229,헬가,2,Dark,Fire,Dark Pokemon,1.4,35,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,500,2 Sp. Atk,45,35,175,Slow,Field,,50,50,20,Ordinary
230,킹드라,2,Water,Dragon,Dragon Pokemon,1.8,152,Swift Swim,Sniper,Damp,75,95,95,95,95,85,540,"1 Attack, 1 Sp. Atk, 1 Sp. Def",45,50,243,Medium Fast,Dragon ,Water 1,50,50,20,Ordinary
231,코코리,2,Ground,,Long Nose Pokemon,0.5,33.5,Pickup,Sand Veil,,90,60,60,40,40,40,330,1 HP,120,50,66,Medium Fast,Field,,50,50,20,Ordinary
232,코리갑,2,Ground,,Armor Pokemon,1.1,120,Sturdy,Sand Veil,,90,120,120,60,60,50,500,"1 Attack, 1 Defense",60,50,175,Medium Fast,Field,,50,50,20,Ordinary
233,폴리곤2,2,Normal,,Virtual Pokemon,0.6,32.5,Trace,Download,Analytic,85,80,90,105,95,60,515,2 Sp. Atk,45,50,180,Medium Fast,Mineral,,,,20,Ordinary
234,노라키,2,Normal,,Big Horn Pokemon,1.4,71.2,Intimidate,Frisk,Sap Sipper,73,95,62,85,65,85,465,1 Attack,45,50,163,Slow,Field,,50,50,20,Ordinary
235,루브도,2,Normal,,Painter Pokemon,1.2,58,Own Tempo,Technician,Moody,55,20,35,20,45,75,250,1 Speed,45,50,88,Fast,Field,,50,50,20,Ordinary
236,배루키,2,Fighting,,Scuffle Pokemon,0.7,21,Guts,Steadfast,Vital Spirit,35,35,35,35,35,35,210,1 Attack,75,50,42,Medium Fast,Undiscovered,,100,0,25,Baby Pokemon
237,카포에라,2,Fighting,,Handstand Pokemon,1.4,48,Intimidate,Technician,Steadfast,50,95,95,35,110,70,455,2 Sp. Def,45,50,159,Medium Fast,Human-Like,,100,0,25,Ordinary
238,뽀뽀라,2,Ice,Psychic,Kiss Pokemon,0.4,6,Oblivious,Forewarn,Hydration,45,30,15,85,65,65,305,1 Sp. Atk,45,50,61,Medium Fast,Undiscovered,,0,100,25,Baby Pokemon
239,에레키드,2,Electric,,Electric Pokemon,0.6,23.5,Static,Vital Spirit,,45,63,37,65,55,95,360,1 Speed,45,50,72,Medium Fast,Undiscovered,,75,25,25,Baby Pokemon
240,마그비,2,Fire,,Live Coal Pokemon,0.7,21.4,Flame Body,Vital Spirit,,45,75,37,70,55,83,365,1 Speed,45,50,73,Medium Fast,Undiscovered,,75,25,25,Baby Pokemon
241,밀탱크,2,Normal,,Milk Cow Pokemon,1.2,75.5,Thick Fat,Scrappy,Sap Sipper,95,80,105,40,70,100,490,2 Defense,45,50,172,Slow,Field,,0,100,20,Ordinary
242,해피너스,2,Normal,,Happiness Pokemon,1.5,46.8,Natural Cure,Serene Grace,Healer,255,10,10,75,135,55,540,3 HP,30,140,635,Fast,Fairy,,0,100,40,Ordinary
243,라이코,2,Electric,,Thunder Pokemon,1.9,178,Pressure,Inner Focus,,90,85,75,115,100,115,580,"1 Sp. Atk, 2 Speed",3,35,261,Slow,Undiscovered,,,,80,Legendary
244,앤테이,2,Fire,,Volcano Pokemon,2.1,198,Pressure,Inner Focus,,115,115,85,90,75,100,580,"1 HP, 2 Attack",3,35,261,Slow,Undiscovered,,,,80,Legendary
245,스이쿤,2,Water,,Aurora Pokemon,2,187,Pressure,Inner Focus,,100,75,115,90,115,85,580,"1 Defense, 2 Sp. Def",3,35,261,Slow,Undiscovered,,,,80,Legendary
246,애버라스,2,Rock,Ground,Rock Skin Pokemon,0.6,72,Guts,Sand Veil,,50,64,50,45,50,41,300,1 Attack,45,35,60,Slow,Monster,,50,50,40,Ordinary
247,데기라스,2,Rock,Ground,Hard Shell Pokemon,1.2,152,Shed Skin,,,70,84,70,65,70,51,410,2 Attack,45,35,144,Slow,Monster,,50,50,40,Ordinary
248,마기라스,2,Rock,Dark,Armor Pokemon,2,202,Sand Stream,Unnerve,,100,134,110,95,100,61,600,3 Attack,45,35,300,Slow,Monster,,50,50,40,Ordinary
249,루기아,2,Psychic,Flying,Diving Pokemon,5.2,216,Pressure,Multiscale,,106,90,130,90,154,110,680,3 Sp. Def,3,0,306,Slow,Undiscovered,,,,120,Legendary
250,칠색조,2,Fire,Flying,Rainbow Pokemon,3.8,199,Pressure,Regenerator,,106,130,90,110,154,90,680,3 Sp. Def,3,0,306,Slow,Undiscovered,,,,120,Ordinary
251,세레비,2,Psychic,Grass,Time Travel Pokemon,0.6,5,Natural Cure,,,100,100,100,100,100,100,600,3 HP,45,100,270,Medium Slow,Undiscovered,,,,120,Mythical
252,나무지기,3,Grass,,Wood Gecko Pokemon,0.5,5,Overgrow,Unburden,,40,45,35,65,55,70,310,1 Speed,45,50,62,Medium Slow,Dragon ,Monster,87.5,12.5,20,Ordinary
253,나무돌이,3,Grass,,Wood Gecko Pokemon,0.9,21.6,Overgrow,Unburden,,50,65,45,85,65,95,405,2 Speed,45,50,142,Medium Slow,Dragon ,Monster,87.5,12.5,20,Ordinary
254,나무킹,3,Grass,,Forest Pokemon,1.7,52.2,Overgrow,Unburden,,70,85,65,105,85,120,530,3 Speed,45,50,239,Medium Slow,Dragon ,Monster,87.5,12.5,20,Ordinary
255,아차모,3,Fire,,Chick Pokemon,0.4,2.5,Blaze,Speed Boost,,45,60,40,70,50,45,310,1 Sp. Atk,45,50,62,Medium Slow,Field,,87.5,12.5,20,Ordinary
256,영치코,3,Fire,Fighting,Young Fowl Pokemon,0.9,19.5,Blaze,Speed Boost,,60,85,60,85,60,55,405,"1 Attack, 1 Sp. Atk",45,50,142,Medium Slow,Field,,87.5,12.5,20,Ordinary
257,번치코,3,Fire,Fighting,Blaze Pokemon,1.9,52,Blaze,Speed Boost,,80,120,70,110,70,80,530,3 Attack,45,50,239,Medium Slow,Field,,87.5,12.5,20,Ordinary
258,물짱이,3,Water,,Mud Fish Pokemon,0.4,7.6,Torrent,Damp,,50,70,50,50,50,40,310,1 Attack,45,50,62,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
259,늪짱이,3,Water,Ground,Mud Fish Pokemon,0.7,28,Torrent,Damp,,70,85,70,60,70,50,405,2 Attack,45,50,142,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
260,대짱이,3,Water,Ground,Mud Fish Pokemon,1.5,81.9,Torrent,Damp,,100,110,90,85,90,60,535,3 Attack,45,50,241,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
261,포챠나,3,Dark,,Bite Pokemon,0.5,13.6,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,220,1 Attack,255,50,56,Medium Fast,Field,,50,50,15,Ordinary
262,그라에나,3,Dark,,Bite Pokemon,1,37,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,420,2 Attack,127,50,147,Medium Fast,Field,,50,50,15,Ordinary
263,지그제구리,3,Normal,,TinyRaccoon Pokemon,0.4,17.5,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,240,1 Speed,255,50,56,Medium Fast,Field,,50,50,15,Ordinary
264,직구리,3,Normal,,Rushing Pokemon,0.5,32.5,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,420,2 Speed,90,50,147,Medium Fast,Field,,50,50,15,Ordinary
265,개무소,3,Bug,,Worm Pokemon,0.3,3.6,Shield Dust,Run Away,,45,45,35,20,30,20,195,1 HP,255,50,56,Medium Fast,Bug,,50,50,15,Ordinary
266,실쿤,3,Bug,,Cocoon Pokemon,0.6,10,Shed Skin,,,50,35,55,25,25,15,205,2 Defense,120,50,72,Medium Fast,Bug,,50,50,15,Ordinary
267,뷰티플라이,3,Bug,Flying,Butterfly Pokemon,1,28.4,Swarm,Rivalry,,60,70,50,100,50,65,395,3 Sp. Atk,45,50,178,Medium Fast,Bug,,50,50,15,Ordinary
268,카스쿤,3,Bug,,Cocoon Pokemon,0.7,11.5,Shed Skin,,,50,35,55,25,25,15,205,2 Defense,120,50,72,Medium Fast,Bug,,50,50,15,Ordinary
269,독케일,3,Bug,Poison,Poison Moth Pokemon,1.2,31.6,Shield Dust,Compound Eyes,,60,50,70,50,90,65,385,3 Sp. Def,45,50,173,Medium Fast,Bug,,50,50,15,Ordinary
